tree,index,left_child,right_child,feature,threshold,neg,pos
0,0,1,14,2,0.028444005310769883,271,107
0,1,2,3,0,517.5706361153026,101,26
0,2,-1,-1,-2,-2.0,13,0
0,3,4,13,6,2.9504404850073347,88,26
0,4,5,6,0,645.8966561774242,69,26
0,5,-1,-1,-2,-2.0,14,0
0,6,7,8,8,1828.4064515602804,55,26
0,7,-1,-1,-2,-2.0,33,4
0,8,9,12,2,0.007310835815291599,22,22
0,9,10,11,9,3063.819920822872,15,16
0,10,-1,-1,-2,-2.0,5,11
0,11,-1,-1,-2,-2.0,10,5
0,12,-1,-1,-2,-2.0,7,6
0,13,-1,-1,-2,-2.0,19,0
0,14,15,24,13,0.006581646266124846,170,81
0,15,16,23,12,35.36980716947923,61,47
0,16,17,22,0,756.919596356768,41,39
0,17,18,21,8,5047.558689266238,32,23
0,18,19,20,3,0.36522121371944494,23,18
0,19,-1,-1,-2,-2.0,13,13
0,20,-1,-1,-2,-2.0,10,5
0,21,-1,-1,-2,-2.0,9,5
0,22,-1,-1,-2,-2.0,9,16
0,23,-1,-1,-2,-2.0,20,8
0,24,25,38,9,2095.6337105080643,109,34
0,25,26,29,9,331.1797043649385,102,27
0,26,27,28,3,0.29211339368117667,33,3
0,27,-1,-1,-2,-2.0,18,0
0,28,-1,-1,-2,-2.0,15,3
0,29,30,37,6,0.32058186471489347,69,24
0,30,31,32,4,1.1823214433073632,43,23
0,31,-1,-1,-2,-2.0,6,9
0,32,33,34,4,2.0670999428569803,37,14
0,33,-1,-1,-2,-2.0,8,7
0,34,35,36,3,0.07226727207762527,29,7
0,35,-1,-1,-2,-2.0,18,3
0,36,-1,-1,-2,-2.0,11,4
0,37,-1,-1,-2,-2.0,26,1
0,38,-1,-1,-2,-2.0,7,7
1,0,1,2,0,605.9832522091378,271,107
1,1,-1,-1,-2,-2.0,41,0
1,2,3,10,0,692.7370689198082,230,107
1,3,4,9,0,682.0719098328016,94,10
1,4,5,6,5,6.128649191059474,78,5
1,5,-1,-1,-2,-2.0,43,0
1,6,7,8,1,0.9499404944065588,35,5
1,7,-1,-1,-2,-2.0,15,3
1,8,-1,-1,-2,-2.0,20,2
1,9,-1,-1,-2,-2.0,16,5
1,10,11,18,0,712.9895193055223,136,97
1,11,12,15,0,698.4526365890413,55,15
1,12,13,14,4,2.415146177362253,31,5
1,13,-1,-1,-2,-2.0,19,2
1,14,-1,-1,-2,-2.0,12,3
